Date,Name,CURRENT RATIO,PRICE EARNINGS RATIO,RETURN ON INVESTED CAPITAL,TOTAL DEBT TO TOTAL ASSET,TOTAL DEBT TO TOTAL EQUITY,RETURN ON ASSET RATIO
2002/07/31,TRMB ,2.1742,21.0455,10.8981,21.9585,39.0506,4.2852
2002/09/30,TRMB ,2.4841,21.0455,11.6874,20.5505,33.9354,5.6998
2002/10/31,TRMB ,2.4841,28.6462,11.6874,20.5505,33.9354,5.6998
2002/12/31,TRMB ,2.3037,28.6462,11.6874,16.3745,25.9835,7.7415
2003/01/31,TRMB ,2.3037,26.0568,11.6874,16.3745,25.9835,7.7415
2003/03/31,TRMB ,2.3938,26.0568,11.6874,15.1118,23.3803,9.1313
2003/04/30,TRMB ,2.3938,30.0975,11.6874,15.1118,23.3803,9.1313
2003/06/30,TRMB ,2.3659,30.0975,11.6874,13.1407,20.0902,10.6758
2003/07/31,TRMB ,2.3659,32.8028,11.6874,13.1407,20.0902,10.6758
2003/09/30,TRMB ,2.318,32.8028,11.6874,8.655,12.4951,11.7518
2003/10/31,TRMB ,2.4614,33.04,15.5681,5.9629,8.259,11.2185
2003/12/31,TRMB ,2.4614,33.81,15.5681,5.9629,8.259,11.2185
2004/01/31,TRMB ,2.4803,33.81,16.4437,4.311,5.8826,11.7621
2004/03/31,TRMB ,2.4803,34.4867,16.4437,4.311,5.8826,11.7621
2004/04/30,TRMB ,2.6939,34.4867,16.7942,0.0993,0.1286,12.0389
2004/06/30,TRMB ,2.82,25.5227,16.3777,0.0943,0.1213,11.9509
2004/07/31,TRMB ,2.4556,24.993,14.7632,0.0873,0.1136,12.1476
2004/09/30,TRMB ,2.5774,28.1563,14.8411,0.0757,0.0986,12.7283
2004/10/31,TRMB ,2.484,25.8035,14.493,0.1011,0.1339,12.6728
2004/12/31,TRMB ,2.8635,25.8681,13.9136,0.0829,0.1068,12.7856
2005/01/31,TRMB ,2.4931,28.5,13.5129,0.0489,0.0643,12.0074
2005/03/31,TRMB ,2.1752,28.5532,11.1072,11.9506,17.8064,9.5836
2005/04/30,TRMB ,2.1292,32.0398,11.3664,8.3418,12.1681,9.6006
2005/06/30,TRMB ,2.2028,37.5215,11.3327,5.3897,7.5602,9.5193
2005/07/31,TRMB ,2.2265,37.5215,11.4727,3.9426,5.4724,9.3049
2005/09/30,TRMB ,2.2265,28.2617,11.4727,3.9426,5.4724,9.3049
2005/10/31,TRMB ,2.421,28.2617,10.1723,3.815,5.2279,8.5428
2005/12/30,TRMB ,2.421,25.0789,10.1723,3.815,5.2279,8.5428
2006/01/31,TRMB ,2.267,25.0789,11.0864,0.0359,0.0471,9.3081
2006/03/31,TRMB ,2.267,28.3333,11.0864,0.0359,0.0471,9.3081
2006/04/30,TRMB ,2.3725,28.3333,11.8936,3.2799,4.4495,10.0073
2006/06/30,TRMB ,2.3725,19.0147,11.8936,3.2799,4.4495,10.0073
2006/07/31,TRMB ,2.3725,15.8897,11.8936,3.2799,4.4495,10.0073
2006/09/29,TRMB ,2.635,15.8897,10.9411,9.2713,13.2501,8.9134
2006/10/31,TRMB ,2.635,11.5758,10.9411,9.2713,13.2501,8.9134
2006/12/29,TRMB ,2.6296,11.5758,8.9415,9.234,13.1142,7.3604
2007/01/31,TRMB ,2.6296,17.7387,8.9415,9.234,13.1142,7.3604
2007/03/30,TRMB ,2.796,17.7387,6.8121,8.9594,12.5489,5.5653
2007/04/30,TRMB ,2.796,28.2722,6.8121,8.9594,12.5489,5.5653
2007/06/29,TRMB ,3.0418,28.2722,4.9964,8.7492,12.1047,4.0927
2007/07/31,TRMB ,3.0418,42.1901,4.9964,8.7492,12.1047,4.0927
2007/09/28,TRMB ,3.0911,42.1901,4.6273,8.64,11.9792,3.745
2007/10/31,TRMB ,3.0911,48.0834,4.6273,8.64,11.9792,3.745
2007/12/31,TRMB ,2.9827,48.0834,5.0102,8.2596,11.6064,4.2511
2008/01/31,TRMB ,2.9827,41.9768,5.0102,8.2596,11.6064,4.2511
2008/03/31,TRMB ,2.4506,41.9768,3.9839,8.5942,12.3166,3.4206
2008/04/30,TRMB ,2.4506,66.1761,3.9839,8.5942,12.3166,3.4206
2008/06/30,TRMB ,2.616,66.1761,4.7235,8.4299,11.6039,4.3207
2008/07/31,TRMB ,2.8369,45.9967,6.2676,8.2036,11.0524,5.7268
2008/09/30,TRMB ,2.8369,58.2187,6.2676,8.2036,11.0524,5.7268
2008/10/31,TRMB ,1.8875,58.2187,6.7245,7.6661,10.2955,6.0242
2008/12/31,TRMB ,1.8875,40.8038,6.7245,7.6661,10.2955,6.0242
2009/01/31,TRMB ,2.7778,40.8038,9.2036,6.1482,8.1574,8.4559
2009/03/31,TRMB ,1.8761,25.0314,7.9618,23.4854,40.7332,6.9728
2009/04/30,TRMB ,1.7822,33.8924,7.4048,21.2796,35.5237,6.6715
2009/06/30,TRMB ,1.7822,39.492,7.4048,21.2796,35.5237,6.6715
2009/07/31,TRMB ,1.7893,39.492,7.6636,21.6963,36.5784,6.6452
2009/09/30,TRMB ,1.6348,32.4511,7.5556,23.4566,40.4796,6.4204
2009/10/31,TRMB ,1.604,30.1472,7.5694,21.2844,35.2377,6.5311
2009/12/31,TRMB ,1.741,30.1472,6.989,26.2649,47.6168,6.2422
2010/01/31,TRMB ,1.741,37.522,6.989,26.2649,47.6168,6.2422
2010/03/31,TRMB ,1.5993,38.4264,6.7842,25.8135,46.821,5.9042
2010/04/30,TRMB ,1.4553,33.6058,6.6881,24.7454,44.05,5.7801
2010/06/30,TRMB ,1.456,33.6058,6.7325,22.2566,37.804,5.77
2010/07/31,TRMB ,1.456,38.0903,6.7325,22.2566,37.804,5.77
2010/09/30,TRMB ,1.456,44.4878,6.7325,22.2566,37.804,5.77
2010/10/31,TRMB ,1.4507,44.4878,7.3909,20.4942,33.9509,6.1048
2010/12/31,TRMB ,1.6535,41.8611,7.6225,17.5946,28.2404,6.4731
2011/01/31,TRMB ,1.6535,39.7933,7.6225,17.5946,28.2404,6.4731
2011/03/31,TRMB ,1.8225,39.7933,8.2633,16.9595,26.7612,6.957
2011/04/30,TRMB ,1.8225,30.3035,8.2633,16.9595,26.7612,6.957
2011/06/30,TRMB ,1.4674,30.3035,7.0744,16.9331,27.3617,5.8565
2011/07/31,TRMB ,1.5337,30.3035,6.7534,19.0721,31.2484,5.6669
2011/09/30,TRMB ,1.5337,34.8761,6.7534,19.0721,31.2484,5.6669
2011/10/31,TRMB ,1.3132,38.5942,6.0527,17.4685,28.3432,4.7416
2011/12/30,TRMB ,1.3132,35.9294,6.0527,17.4685,28.3432,4.7416
2012/01/31,TRMB ,1.2706,35.9294,4.3205,16.9197,27.3427,3.3386
2012/03/30,TRMB ,1.2706,34.2319,4.3205,16.9197,27.3427,3.3386
2012/04/30,TRMB ,1.2407,34.2319,5.2044,20.4145,34.468,4.0568
2012/06/29,TRMB ,1.208,34.2319,4.0055,19.825,32.8605,3.2137
2012/07/31,TRMB ,1.208,42.3441,4.0055,19.825,32.8605,3.2137
2012/09/28,TRMB ,1.2006,53.3654,3.7847,17.9978,29.5141,2.83
2012/10/31,TRMB ,1.2006,52.4185,3.7847,17.9978,29.5141,2.83
2012/12/31,TRMB ,1.2993,52.4185,4.189,19.3251,32.2983,3.0962
2013/01/31,TRMB ,1.3803,52.4185,4.2672,17.9504,28.8744,3.186
2013/03/29,TRMB ,1.3803,56.1698,4.2672,17.9504,28.8744,3.186
2013/04/30,TRMB ,1.4221,52.8528,4.5881,16.8735,26.8855,3.6005
2013/06/28,TRMB ,1.4691,47.84,5.2612,16.629,26.771,4.2473
2013/07/31,TRMB ,1.4309,47.72,5.397,15.1623,24.3198,4.4673
2013/09/30,TRMB ,1.4373,48.3078,5.6328,16.6431,27.2073,4.8533
2013/10/31,TRMB ,1.4373,49.2369,5.6328,16.6431,27.2073,4.8533
2013/12/31,TRMB ,1.696,49.2369,3.1144,21.1732,37.8505,2.9637
2014/01/31,TRMB ,1.696,36.7498,3.1144,21.1732,37.8505,2.9637
2014/03/31,TRMB ,0.9806,36.7498,3.3398,24.0131,44.8938,2.9658
2014/04/30,TRMB ,1.9343,31.9863,4.0543,26.4825,51.1042,3.2349
